gene_symbol,high_impact,therapeutic,targeted_drug,avoid_ineffective_therapy,supportive_dietary,extrarenal_surveillance,transplant_donor,rationale,knoers_table,knoers_utility_text,notes,in_simulation,needs_review,disease_groups
ACE,0,0,0,0,0,0,0,,S4,"genetic 
counseling",,FALSE,FALSE,CAKUT
ACTA2,0,0,0,0,0,0,0,,S4,"genetic 
counseling",,FALSE,FALSE,CAKUT
ACTG2,0,0,0,0,0,0,0,,S4,"genetic 
counseling",,FALSE,FALSE,CAKUT
ACTN4,1,1,0,1,0,0,1,AD FSGS: avoid IS (hereditary glomerulopathy); donor screening (AD),S1,Renal protection strategies. Adequation of treatment and follow-up,S1 generic utility; avoid IS per Knoers p.245; AD requires donor genotyping,FALSE,FALSE,Glomerulopathies
ADCY10,0,0,0,0,0,0,0,Insufficient evidence for gene-specific clinical impact categories,,,Extension gene; limited evidence for actionable interventions; conservative assignment,TRUE,FALSE,
AGT,0,0,0,0,0,0,0,,S4,"genetic 
counseling",,FALSE,FALSE,CAKUT
AGTR1,0,0,0,0,0,0,0,,S4,"genetic 
counseling",,FALSE,FALSE,CAKUT
AGXT,1,1,1,0,1,0,0,PH1: pyridoxine (B6-responsive); adapted diet; nephrolithiasis prevention,S2,"Adapted treatment (pyridoxine) and diet. Renal protection strategies.
Prevention of recurrent nephrolithiasis/nephrocalcinois",S2 utility explicit: adapted treatment (pyridoxine) + diet + nephrolithiasis prevention,TRUE,FALSE,Tubulopathies
AHI1,0,0,0,0,0,0,0,,S5,"adequation of treatment follow up
genetic counseling",,FALSE,FALSE,Ciliopathies
ALDOB,1,1,0,0,1,0,0,HFI: strict fructose/sucrose/sorbitol avoidance; renal protection,S2,Adapted dietary management. Renal protection strategies. Adequation of treatment and follow-up,S2 utility explicit: adapted dietary management + renal protection,FALSE,FALSE,Tubulopathies
ALG1,0,0,0,0,0,0,0,,S1,,,FALSE,FALSE,Glomerulopathies
